MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2014-12,1122372,F310,0.00,6,6
100,2014-12,1277752,F310,44.00,1,1
101,2014-12,1072898,F310,0.00,8,8
101,2014-12,1122372,F310,3179.00,7,7
101,2014-12,1810611,F310,0.00,23,23
101,2014-12,514278,F310,0.00,2,2
101,2014-12,74498,F310,0.00,40,40
101,2014-12,7824,F310,914.00,80,80
103,2014-12,1122372,F310,0.00,5,5
104,2014-12,1072898,F310,0.00,18,18
104,2014-12,1122372,F310,0.00,10,10
104,2014-12,7824,F310,626.00,5,5
105,2014-12,1122372,F310,0.00,6,6
105,2014-12,7824,F310,110.00,8,8
106,2014-12,1072898,F310,0.00,8,8
106,2014-12,1122372,F310,0.00,6,6
106,2014-12,1810611,F310,0.00,8,8
106,2014-12,7824,F310,1135.00,11,11
107,2014-12,1122372,F310,0.00,6,6
108,2014-12,1072898,F310,0.00,2,2
108,2014-12,1122372,F310,0.00,1,1
108,2014-12,514278,F310,0.00,3,3
108,2014-12,7824,F310,146.00,15,15
109,2014-12,1122372,F310,0.00,5,5
110,2014-12,1072898,F310,0.00,8,8
110,2014-12,1122372,F310,0.00,70,70
110,2014-12,74498,F310,0.00,13,13
110,2014-12,7824,F310,0.00,4,4
111,2014-12,1122372,F310,0.00,6,6
111,2014-12,7824,F310,0.00,8,8
112,2014-12,1122372,F310,0.00,6,6
112,2014-12,7824,F310,0.00,4,4
113,2014-12,1122372,F310,0.00,6,6
114,2014-12,1122372,F310,0.00,4,4
114,2014-12,7824,F310,0.00,4,4
115,2014-12,1072898,F310,0.00,11,11
115,2014-12,1122372,F310,0.00,6,6
115,2014-12,7824,F310,0.00,8,8
117,2014-12,1122372,F310,0.00,6,6
117,2014-12,7824,F310,0.00,4,4
118,2014-12,1122372,F310,0.00,6,6
118,2014-12,7824,F310,0.00,4,4
119,2014-12,1122372,F310,0.00,6,6
119,2014-12,7824,F310,0.00,4,4
120,2014-12,1122372,F310,0.00,5,5
121,2014-12,1122372,F310,0.00,6,6
121,2014-12,7824,F310,18.00,1,1
122,2014-12,1122372,F310,0.00,6,6
123,2014-12,1122372,F310,0.00,12,12
124,2014-12,1072898,F310,4021.00,30,30
124,2014-12,1122372,F310,0.00,6,6
124,2014-12,74498,F310,0.00,6,6
124,2014-12,7824,F310,102.00,9,9
125,2014-12,1122372,F310,0.00,6,6
126,2014-12,1122372,F310,0.00,3,3
127,2014-12,1072898,F310,0.00,8,8
127,2014-12,1122372,F310,0.00,6,6
128,2014-12,1072898,F310,0.00,8,8
128,2014-12,1122372,F310,0.00,6,6
128,2014-12,1810611,F310,0.00,21,21
128,2014-12,514278,F310,0.00,8,8
128,2014-12,74498,F310,0.00,25,25
128,2014-12,7824,F310,0.00,6,6
129,2014-12,1122372,F310,0.00,6,6
129,2014-12,7824,F310,85.00,5,5
130,2014-12,1122372,F310,0.00,6,6
131,2014-12,1122372,F310,0.00,3,3
131,2014-12,7824,F310,0.00,4,4
132,2014-12,1122372,F310,685.00,7,7
132,2014-12,7824,F310,0.00,1,1
133,2014-12,1072898,F310,0.00,2,2
133,2014-12,1122372,F310,350.00,7,7
133,2014-12,7824,F310,126.00,8,8
134,2014-12,1122372,F310,0.00,6,6
134,2014-12,7824,F310,485.00,5,5
135,2014-12,1072898,F310,0.00,11,11
135,2014-12,1122372,F310,0.00,5,5
135,2014-12,7824,F310,553.00,6,6
136,2014-12,1122372,F310,0.00,6,6
136,2014-12,7824,F310,48.00,1,1
137,2014-12,1122372,F310,0.00,6,6
138,2014-12,1122372,F310,0.00,6,6
139,2014-12,1072898,F310,0.00,7,7
139,2014-12,1122372,F310,0.00,9,9
139,2014-12,514278,F310,0.00,4,4
139,2014-12,74498,F310,0.00,9,9
139,2014-12,7824,F310,0.00,5,5
140,2014-12,1122372,F310,0.00,6,6
141,2014-12,1122372,F310,92.00,7,7
141,2014-12,710230,F310,1791.00,7,7
142,2014-12,1122372,F310,0.00,6,6
143,2014-12,1122372,F310,0.00,6,6
144,2014-12,1122372,F310,0.00,6,6
144,2014-12,7824,F310,0.00,4,4
146,2014-12,1122372,F310,250.00,3,3
147,2014-12,1122372,F310,0.00,6,6
147,2014-12,7824,F310,63.00,1,1
148,2014-12,1072898,F310,242.00,12,12
148,2014-12,1122372,F310,0.00,6,6
148,2014-12,514278,F310,0.00,8,8
148,2014-12,74498,F310,0.00,9,9
148,2014-12,7824,F310,0.00,2,2
150,2014-12,1122372,F310,0.00,5,5
151,2014-12,1122372,F310,0.00,5,5
153,2014-12,1122372,F310,0.00,6,6
154,2014-12,1122372,F310,0.00,3,3
155,2014-12,1122372,F310,0.00,6,6
155,2014-12,7824,F310,0.00,4,4
156,2014-12,1122372,F310,0.00,5,5
156,2014-12,456603,F310,1897.00,20,20
156,2014-12,74498,F310,1429.00,4,4
157,2014-12,1122372,F310,0.00,6,6
157,2014-12,7824,F310,29.00,1,1
158,2014-12,1122372,F310,0.00,5,5
159,2014-12,1122372,F310,0.00,6,6
160,2014-12,1122372,F310,0.00,6,6
160,2014-12,1810611,F310,0.00,8,8
160,2014-12,7824,F310,0.00,4,4
161,2014-12,1122372,F310,0.00,6,6
161,2014-12,7824,F310,57.00,1,1
163,2014-12,1122372,F310,0.00,6,6
163,2014-12,7824,F310,46.00,4,4
164,2014-12,1122372,F310,914.00,18,18
165,2014-12,1122372,F310,0.00,3,3
166,2014-12,1122372,F310,0.00,6,6
166,2014-12,7824,F310,366.00,4,4
167,2014-12,1122372,F310,0.00,6,6
167,2014-12,7824,F310,0.00,4,4
170,2014-12,1122372,F310,0.00,6,6
171,2014-12,1122372,F310,0.00,6,6
171,2014-12,7824,F310,9.00,1,1
173,2014-12,1122372,F310,0.00,6,6
174,2014-12,1122372,F310,0.00,6,6
175,2014-12,1122372,F310,0.00,6,6
177,2014-12,1122372,F310,0.00,6,6
181,2014-12,1122372,F310,0.00,6,6
184,2014-12,1122372,F310,0.00,5,5
188,2014-12,1122372,F310,0.00,5,5
188,2014-12,7824,F310,95.00,2,2
196,2014-12,1122372,F310,83.00,7,7
197,2014-12,1122372,F310,0.00,3,3
198,2014-12,1122372,F310,0.00,6,6
200,2014-12,1072898,F310,1290.00,3,3
200,2014-12,1122372,F310,0.00,6,6
200,2014-12,1810611,F310,0.00,10,10
202,2014-12,1072898,F310,99719.00,10,10
202,2014-12,1122372,F310,7894.00,9,9
202,2014-12,1810611,F310,0.00,24,24
202,2014-12,514278,F310,0.00,12,12
202,2014-12,7824,F310,1050.00,18,18
203,2014-12,1072898,F310,529.00,7,7
203,2014-12,1122372,F310,0.00,6,6
204,2014-12,7824,F310,0.00,1,1
205,2014-12,1122372,F310,0.00,5,5
209,2014-12,1072898,F310,0.00,19,19
209,2014-12,1122372,F310,0.00,6,6
209,2014-12,7824,F310,0.00,1,1
210,2014-12,1122372,F310,0.00,6,6
211,2014-12,1122372,F310,0.00,6,6
211,2014-12,7824,F310,0.00,1,1
212,2014-12,1122372,F310,0.00,6,6
213,2014-12,1072898,F310,0.00,17,17
213,2014-12,1122372,F310,0.00,47,47
213,2014-12,7824,F310,278.00,8,8
216,2014-12,1072898,F310,0.00,13,13
216,2014-12,1122372,F310,0.00,6,6
216,2014-12,7824,F310,148.00,6,6
217,2014-12,1072898,F310,0.00,22,22
217,2014-12,1122372,F310,0.00,14,14
217,2014-12,7824,F310,28.00,6,6
218,2014-12,1072898,F310,28564.00,26,26
218,2014-12,1122372,F310,0.00,6,6
218,2014-12,1810611,F310,0.00,24,24
218,2014-12,7824,F310,0.00,4,4
219,2014-12,1072898,F310,1430.00,20,20
219,2014-12,1122372,F310,0.00,6,6
219,2014-12,7824,F310,0.00,5,5
222,2014-12,1122372,F310,0.00,6,6
222,2014-12,7824,F310,111.00,6,6
223,2014-12,1072898,F310,0.00,15,15
223,2014-12,1122372,F310,0.00,6,6
223,2014-12,1810611,F310,0.00,33,33
223,2014-12,7824,F310,266.00,9,9
224,2014-12,1122372,F310,0.00,6,6
224,2014-12,7824,F310,0.00,1,1
225,2014-12,1122372,F310,0.00,2,2
225,2014-12,7824,F310,0.00,4,4
227,2014-12,1122372,F310,0.00,6,6
227,2014-12,7824,F310,0.00,1,1
228,2014-12,1122372,F310,0.00,6,6
230,2014-12,1072898,F310,0.00,1,1
230,2014-12,1122372,F310,0.00,6,6
230,2014-12,7824,F310,13.00,6,6
232,2014-12,1122372,F310,0.00,6,6
232,2014-12,7824,F310,11.00,2,2
233,2014-12,1122372,F310,0.00,3,3
234,2014-12,1122372,F310,0.00,6,6
235,2014-12,1072898,F310,0.00,21,21
235,2014-12,1122372,F310,0.00,6,6
235,2014-12,1810611,F310,0.00,11,11
235,2014-12,7824,F310,94.00,4,4
236,2014-12,1072898,F310,2074.00,10,10
236,2014-12,1122372,F310,0.00,6,6
236,2014-12,1810611,F310,0.00,30,30
236,2014-12,7824,F310,0.00,2,2
237,2014-12,1122372,F310,0.00,5,5
237,2014-12,7824,F310,0.00,1,1
240,2014-12,1072898,F310,0.00,8,8
240,2014-12,1122372,F310,0.00,4,4
240,2014-12,74498,F310,0.00,6,6
240,2014-12,7824,F310,0.00,2,2
241,2014-12,1072898,F310,8014.00,41,41
241,2014-12,1122372,F310,0.00,6,6
241,2014-12,1810611,F310,0.00,18,18
241,2014-12,7824,F310,0.00,3,3
243,2014-12,1122372,F310,0.00,6,6
244,2014-12,7824,F310,0.00,4,4
248,2014-12,1122372,F310,0.00,6,6
249,2014-12,1122372,F310,0.00,6,6
249,2014-12,7824,F310,0.00,2,2
250,2014-12,1072898,F310,0.00,16,16
250,2014-12,1122372,F310,0.00,6,6
250,2014-12,7824,F310,0.00,2,2
251,2014-12,1122372,F310,0.00,6,6
252,2014-12,1122372,F310,0.00,6,6
256,2014-12,1122372,F310,0.00,6,6
257,2014-12,1122372,F310,0.00,6,6
258,2014-12,1122372,F310,0.00,6,6
