BrandCode,BrandDesc,BrandVariant,AdvParentCode,AdvSubsidCode,PCCSubCode,ProductID,AdvParentDesc,kw_label,PCCSubDesc
1507,BLACK STARR & FROST STORE-JEWELRY,BLACK STARR & FROST STORE-JEWELRY,329053,329053,G712,1553,MOLINA INC,molina,"JEWELRY, GIFT STORES & GALLERIES"
3140,CIGNA INSURANCE,CIGNA INSURANCE,11323,11323,B223,2102,CIGNA CORP,cigna,OTHER INSURANCE & COMBINATION COPY
1799659,VILLAGE AT RIVERS EDGE REAL ESTATE-RESIDENTIAL,VILLAGE AT RIVERS EDGE REAL ESTATE-RESIDENTIAL,1078988,1078988,B230,2068,HORIZON INVESTMENT & MANAGEMNT CORP,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
2108643,BLUE CROSS & BLUE SHIELD OF MISSISSIPPI CORP-GEN,BLUE CROSS & BLUE SHIELD OF MISSISSIPPI CORP-GEN,965179,965179,B170,392,BLUE CROSS & BLUE SHIELD OF MISSPPI,bcbs,MISC CORPORATE ADVERTISING (NOT ELSE CLASS)
2108701,PROVENA HEALTH EMPLOYMENT RECRUITMENT,PROVENA HEALTH EMPLOYMENT RECRUITMENT,2121587,2121587,B720,529,PRESENCE HEALTH NETWORK,healthnet,EMPLOYMENT RECRUITMENT
1955308,EMPLOYMENT HORIZONS EMPLOYMENT SVCS,EMPLOYMENT HORIZONS EMPLOYMENT SVCS,1241448,1241448,B119,530,EMPLOYMENT HORIZONS INC,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
1800081,HUMANA SPONSORED EXHIBITION,HUMANA SPONSORED EXHIBITION,13054,13054,G329,548,HUMANA INC,humana,MISC ENTERTAINMENT & COMBINATION COPY
1350618,CAREPLUS HEALTH PLANS INSURANCE-HEALTH,CAREPLUS HEALTH PLANS INSURANCE-HEALTH,13054,946863,B212,2910,HUMANA INC,humana,MEDICAL & DENTAL INSURANCE
413478,HORIZON SCHOOL SCHOOL,HORIZON SCHOOL SCHOOL,405589,405589,B133,1319,HORIZON SCHOOL INC,horizon,"SCHOOLS & CAMPS, SEMINARS"
1958969,SECURE HORIZONS INSURANCE-HEALTH,SECURE HORIZONS INSURANCE-HEALTH MEDICARE ADVANTAGE,43091,23204,B212,2910,UNITEDHEALTH GROUP INC,unitedhealth,MEDICAL & DENTAL INSURANCE
549411,HORIZON MOVING SYSTEMS STORAGE-MOVING SVCS,HORIZON MOVING SYSTEMS STORAGE-MOVING SVCS,531617,531617,B613,2072,HORIZON MOVING SYSTEMS INC,horizon,"STEAMSHIP, TRUCK & OTHER FACILITIES"
134026,LEHIGH VALLEY HOSPITAL HOSPITAL,LEHIGH VALLEY HOSPITAL HOSPITAL,163180,118100,D249,801,LEHIGH VALLEY HEALTH NETWORK INC,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
1805580,BLUE CROSS & BLUE SHIELD SOUTH CAROLINA INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD SOUTH CAROLINA INSURANCE-HEALTH BLUECHOICE,958314,958314,B212,2910,BLUE CROSS & BLUE SHIELD SOUTH CRLN,bcbs,MEDICAL & DENTAL INSURANCE
2369177,CONNECTICARE INSURANCE-HEALTH,CONNECTICARE INSURANCE-HEALTH MEDICARE,1597894,77139,B212,2910,EMBLEMHEALTH INC,emblem,MEDICAL & DENTAL INSURANCE
1806690,UNITEDHEALTH GROUP EMPLOYMENT RECRUITMENT,UNITEDHEALTH GROUP EMPLOYMENT RECRUITMENT,43091,43091,B720,529,UNITEDHEALTH GROUP INC,unitedhealth,EMPLOYMENT RECRUITMENT
276755,UNITED HEALTHCARE INSURANCE-HEALTH,UNITED HEALTHCARE INSURANCE-HEALTH,43091,1329110,B212,2910,UNITEDHEALTH GROUP INC,unitedhealth,MEDICAL & DENTAL INSURANCE
278060,WARREN HOSPITAL HOSPITAL,WARREN HOSPITAL HOSPITAL,381785,381785,D249,801,SAINT LUKES HEALTH NETWORK INC-PH,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
