AdvParentCode,AdvParentDesc,kw_label
1453195,1199SEIU UNITED HEALTHCAR WRKRS EST,unitedhealth_alt
4292759,219 HEALTH NETWORK INC,healthnet
965464,ACCESS COMMUNITY HEALTH NETWORK,healthnet
1001328,ACCOR HEALTH NETWORK,healthnet
530478,ACCORD HEALTH NETWORK LLC,healthnet
3239265,ACUPUNCTURE HEALTH NETWORK,healthnet
2197353,ADAMS HEALTH NETWORK,healthnet
937042,ADAMSON MOLINA DESIGN ASSOC INC,molina
2572534,ADVANTAGE HEALTH NETWORK,healthnet
1323640,ADVENTIST HEALTH NETWORK,healthnet
1454808,AERO HORIZONS INC,horizon
218277,AETNA BUILDING CORP,aetna
1420187,AETNA BUILDING MAINTENANCE INC,aetna
1951742,AETNA FELT CORP,aetna
2765219,AETNA FNDN INC,aetna
2982520,AETNA FURNITURE INC-LA,aetna
2092237,AETNA GROUP SPA,aetna
2947671,AETNA GROUP USA INC,aetna
4253569,AETNA HOSE HOOK & LADDER CO OF NWRK,aetna
10082,AETNA INC,aetna
2546267,AETNA LIFE INSURANCE CO,aetna
1203965,AETNA MAINTENANCE SYSTEMS INC,aetna
104900,AETNA OFFICE FURNITURE INC,aetna
291140,AETNA PLUMBING,aetna
1081,AETNA SHIRT CORP,aetna
1141734,AETNA SUPPLY CO,aetna
349737,AFRICAN HORIZONS,horizon
3606214,AGENTSITE.ANTHEM.COM,anthem
2154007,AHMED ALEXANDER & MOLINA LLP,molina
1455240,AIR HORIZONS LLC-BU,horizon
2966358,ALENA KAISER,kaiser
1690544,ALICER TOMOLINA,molina
1759103,ALL HORIZONS INC,horizon
435370,ALL HORIZONS TRAVEL INC,horizon
1564874,ALLIANCE HEALTH NETWORKS INC,healthnet
2474625,ALLIANCE HEALTH NETWORKS LLC,healthnet
3853122,ALTERNATIVE HORIZONS CORP-GJ,horizon
1211605,AM HEALTH NET-DL,healthnet
1129926,AMERICAN ANTHEM MASTERWORKS,anthem
1256874,AMERICAN ANTHEM MORTGAGE CORP,anthem
840501,AMERICAN ANTHEM UNITING AMERICA,anthem
2080548,AMERICAN HEALTH NETWORK OH PRF CORP,healthnet
1530887,AMERICAN HEALTH NETWORK-MF-IL,healthnet
2689976,AMERICAN HEALTH NETWRK F NDN LLC-IL,healthnet
1947454,AMERICAN HORIZON FINANCIAL LLC,horizon
68594,AMERICAN HORIZONS,horizon
2621045,AMERICAN HORIZONS INC,horizon
2312197,AMERICAN TELEHEALTH NETWORK INC-NY,healthnet
114021,AMERIGROUP FINANCIAL CORP,amerigroup
1236416,AMERIGROUP MORTGAGE INC-CN,amerigroup
2090038,AMIR KHAN VS CARLOS MOLINA,molina
386479,ANA MOLINARI INC,molina
3249346,ANB MOLINA & BURBANO LLC-SL,molina
1670621,ANEW HORIZON,horizon
1304626,ANICETO MOLINA,molina
2478696,ANTHEM,anthem
3258100,ANTHEM,anthem
2639843,ANTHEM,anthem
2171595,ANTHEM,anthem
1000515,ANTHEM AMERICAN BISTRO,anthem
3320866,ANTHEM AMMO LLC,anthem
2168133,ANTHEM ARCHERY LLC,anthem
2493362,ANTHEM AUTOMOTIVE LLC,anthem
2968836,ANTHEM AUTOMOTIVE LLC-AT,anthem
2203985,ANTHEM BOOKKEEPING & TAX SVCS LLC,anthem
4330584,ANTHEM BREWING CO LLC,anthem
1566333,ANTHEM CHEVY-BUICK-PNTC INC-CD,anthem
2681950,ANTHEM CHURCH,anthem
672295,ANTHEM COMMUNITIES LLC,anthem
1644284,ANTHEM COMMUNITY COUNCIL INC,anthem
1143515,ANTHEM DAYS,anthem
3051952,ANTHEM DENTISTRY LLC-PX,anthem
3206252,ANTHEM DIALYSIS LLC-SC,anthem
2870767,ANTHEM EAST 3RD DEVELOPMENTS LP,anthem
1384863,ANTHEM ENTERPRISES INC,anthem
1679665,ANTHEM EXECUTIVE SUITES LLC,anthem
1132572,ANTHEM FESTIVAL OF FINE ART,anthem
1965703,ANTHEM FINANCIAL BANK,anthem
3059557,ANTHEM FIVE INC,anthem
3298231,ANTHEM FNDN INC,anthem
1572969,ANTHEM GAMES LLC-TM,anthem
2863809,ANTHEM GEORGETOWN ON DVLPMTS GP LTD,anthem
1988064,ANTHEM GROUP INC,anthem
507309,ANTHEM HEALTH & LIFE INSURANCE,anthem
1401291,ANTHEM HEALTH SVCS INC,anthem
3034385,ANTHEM HEMP,anthem
2230918,ANTHEM HIGHLANDS ARTWALK,anthem
1605760,ANTHEM HILLS 4TH OF JULY CELEBRATIN,anthem
2322690,ANTHEM HILLS BARBER & BEAUTY SALON,anthem
1125114,ANTHEM HILLS DENTAL LLC,anthem
3213867,ANTHEM HOME SOLUTIONS LLC-AT,anthem
3294237,ANTHEM HOUSE GAINESVILLE-OD,anthem
2304089,ANTHEM INC,anthem
3824269,ANTHEM INSURANCE GROUP INC,anthem
1238194,ANTHEM INTERIORS LLC,anthem
958715,ANTHEM INTL INC-DV,anthem
1207468,ANTHEM JEWELERS LLC,anthem
2253577,ANTHEM KIPLING MANAGEMENT LLC-DV,anthem
2657035,ANTHEM LAKES LLC,anthem
2685117,ANTHEM LIBERTARIAN FILM FESTIVAL,anthem
2691385,ANTHEM LIGHTS,anthem
1809891,ANTHEM LLC-NY,anthem
1945966,ANTHEM LOCAL LP,anthem
2487469,ANTHEM MECHANICAL,anthem
1328227,ANTHEM MEDIA LLC,anthem
2303977,ANTHEM MEMORY CARE LLC,anthem
1226766,ANTHEM MORTGAGE CORP-IL,anthem
1793893,ANTHEM MUSIC,anthem
2482452,ANTHEM MUSIC FESTIVAL,anthem
2024907,ANTHEM OIL & GAS INC,anthem
4226129,ANTHEM OPERATOR LLC,anthem
3127005,ANTHEM PEST CONTROL LLC,anthem
1978257,ANTHEM PROPANE EXCHANGE LLC,anthem
1882693,ANTHEM PROPERTIES GROUP LTD,anthem
2047572,ANTHEM REALTY & MORTGAGE,anthem
1014510,ANTHEM RESTAURANTS OF AMERICA,anthem
4310328,ANTHEM ROOFING LLC-PX,anthem
2894076,ANTHEM SCHOOL OF MUSIC,anthem
2627446,ANTHEM SCREEN PRINTING LLC-SF,anthem
3312511,ANTHEM SENIOR LIVING LLC-PX,anthem
3267552,ANTHEM SHUTTLE LLC-PX,anthem
3031776,ANTHEM SOCO ONE DEVELOPMENTS LP,anthem
2692145,ANTHEM SPORTS & ENTERTAINMENT CORP,anthem
1794792,ANTHEM SPORTS LLC,anthem
2745716,ANTHEM STATIC,anthem
1064535,ANTHEM STEEL CORP LLC,anthem
1710416,ANTHEM STRIDE THROUGH TIME,anthem
1939697,ANTHEM STRONG FAMILIES,anthem
1879805,ANTHEM STUDIOS-OD,anthem
2952239,ANTHEM SVCS LLC-BT,anthem
4128078,ANTHEM TAX SVCS,anthem
2867812,ANTHEM TAX SVCS LLC-LA-OD,anthem
2888160,ANTHEM TAX SVCS-WA,anthem
2820285,ANTHEM TELECOM LLC,anthem
