PCCSubCode,n_parents,PCCSubDesc
D249,317,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
B119,303,MISCELLANEOUS PROFESSIONAL SERVICES
B230,155,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
B189,130,MISCELLANEOUS ORGANIZATION ADVERTISING
B720,130,EMPLOYMENT RECRUITMENT
G719,102,MISCELLANEOUS RETAIL
B111,102,"CONSTRUCTION, ENGINEERING & ARCHIT SRVCS"
B133,93,"SCHOOLS & CAMPS, SEMINARS"
B212,69,MEDICAL & DENTAL INSURANCE
G321,62,"DANCE, THEATER, CONCERTS, OPERA"
G329,62,MISC ENTERTAINMENT & COMBINATION COPY
B159,56,MISC FINANCIAL INST. SERVICES & PRODUCTS
G330,48,"RESTAURANTS, HOTEL DINING & NIGHTCLUBS"
B152,42,BROKERAGE SVCS
B143,42,DATA COMMUNICATIONS NETWORKS
G322,41,AMUSEMENT PARKS & SPORTING EVENTS
B223,38,OTHER INSURANCE & COMBINATION COPY
B170,35,MISC CORPORATE ADVERTISING (NOT ELSE CLASS)
R100,32,DIRECT RESPONSE PRODUCTS
G323,31,CONVENTIONS & TRADE SHOWS
D241,29,FITNESS & DIET PROGRAMS & SPAS
T420,29,TRAVEL SERVICES & TOURS
G714,28,HOUSEHOLD FURNISHINGS & APPLIANCE STORES
T431,28,HOTELS & RESORTS
G900,27,MISCELLANEOUS PDTS/SVCS
B157,27,"TOMBSTONE ADVERTISING,SECURITY & TENDER OFFERS"
B515,26,OTR MANUF MATERIALS & SUPPLIES
B181,25,"POLITICAL, UNION"
B340,23,COMPUTER SOFTWARE
G718,23,"DRUGS, TOILETRIES & SALONS"
T650,18,HORTICULTURAL SERVICES & MISC
B420,18,"MAGAZINES, NEWSPAPERS, MISC MEDIA"
G712,16,"JEWELRY, GIFT STORES & GALLERIES"
G713,15,AUTOMOTIVE
B112,13,"ACCTING, AUDITING & BOOKKEEPING SERVICES"
B613,13,"STEAMSHIP, TRUCK & OTHER FACILITIES"
G717,13,"CRAFT, HOBBY & SPORTING GOODS & TOY STORES"
G71E,12,OPTICAL GOODS AND SERVICES
B151,12,BANKS
G715,11,ELECTRONICS STORES (INCL RENTAL)
B211,10,LIFE INSURANCE
G716,10,FOOD & LIQUOR STORES
H331,10,PRE-RECORDED AUDIO
B410,10,BOOKS & MUSIC
T161,9,AUTOS & LIGHT TRUCK - DEALERSHIPS
B314,9,COMPUTER & DATA PROCESSING SERVICES
T132,9,"MOBILE HOMES,CAMPERS,RVS:DEALERSHIPS"
D215,8,VITAMIN PREPARATIONS & TONICS
G421,7,COMPUTERIZED GAMES & ACCESSORIES INCLUD SOFTWARE
T419,7,MISCELLANEOUS PASSENGER TRAVEL
G310,7,MOTION PICTURES
G720,7,DEPARTMENT STORES
G711,6,"APPAREL, FOOTWEAR & ACCESSORY STORES"
D221,6,MEDICAL APPLIANCES & EQUIPMENT
B710,6,BUSINESS PROPOSITIONS
B441,5,TELEVISION STATIONS
T212,5,GASOLINE DEALRS SERVICES & PROMOTIONS
T163,5,MOTORCYCLE & VEHICLE MISC-DEALERSHIPS
T154,5,"AUTO & TRUCK PARTS,ACCESSORIES & KITS"
G230,5,CAMERAS AND PHOTOGRAPHIC SUPPLIES
B144,5,TELECOMMUNICATION SYSTEMS & SERVICES
A119,5,COMBINATION COPY READY-TO-WEAR
H515,4,PRE-FABRICATED HOMES & BUILDINGS
B442,4,CABLE TELEVISION STATIONS
H319,4,COMB COPY & MISC ELEC ENTERTNMNT EQUIP
D211,4,"PAIN RELIEVERS, SEDATIVES & SLEEPING PREPS"
D218,3,"PHARMACEUTICAL HOUSES, GP"
H524,3,HOME WORKSHOP HAND & POWER TOOLS
H521,3,"PLUMBING & SANIT EQUIP, FIXTRS & SYSTEMS"
H529,3,"MISC EQUIPMENT, FIXTURES & SYSTEMS"
T412,3,CRUISE SHIP TRAVEL
B520,3,"INDUSTRIAL MACHINERY, INSTRUMENTS, ELEC COMP"
G419,3,MISCELLANEOUS SPORTING EQUIPMENT
B145,3,"TELEPHONE COMPANIES, PUBLIC & PRIVATE"
B222,3,AUTOMOBILE INSURANCE
B148,3,CELLULAR RADIO SYSTEMS & ACCESSORIES
B153,3,MUTUAL FUNDS & MONEY FUNDS
T660,3,FARMING & LIVESTOCK
T414,3,CAR & TRUCK RENTAL SVCS
D122,3,TOILET SOAPS
D219,3,MISCELLANEOUS MEDICATION & PROPRIETARY REMEDIES
G422,3,NON-COMPUTERIZED GAMES
H522,2,"HEATING & COOLING EQUIP, FIXTRS & SYSTEMS"
G513,2,PET FOOD (NOT ELSEWHERE CLASSIFIED)
T141,2,CAR & TRUCK TIRES & TUBES
B147,2,HOME PHONE EQUIPMENT
B221,2,HOME INSURANCE
B141,2,"GAS, POWER, LIGHTING & WATER COMPANIES"
B121,2,CREDIT CARDS
T300,2,"AIRPLANES, AVIATION ACCESSORIES, SERVICES, EQUIP"
T230,2,"PETROLEUM COMPANIES, GENERAL PROMOTION"
T610,2,"GARDEN MACHINERY, IMPLEMENTS & FIXTURES"
F172,2,FRUIT JUICES & FRUIT FLAVORED DRINKS(INCL POWDRD)
B430,2,RADIO STATIONS
B331,2,STATIONERY & MISCELLANEOUS PAPER GOODS
D229,2,MISC MEDICAL & FIRST-AID SUPPLIES
B511,2,METALS & FABRICATED METAL PARTS
F310,2,BEER
G423,2,TOYS
G221,2,"SUNGLASSES, FRAMES & CORRECTIVE LENSES"
G413,2,"BOATS, MOTORS & ACCESSORIES"
T131,2,"MOBILE HOMES,CAMPERS,RVS:FACTORY"
H523,2,"WIRING & LIGHTING EQUIP, FIXTRS & SYSTEMS"
H122,2,MATTRESSES
H131,2,"CARPETS, RUGS & PADS"
H151,2,LAMPS & LIGHTING FIXTURES
H239,2,"MISC ACCESSORIES, SUPPLIES & HARDWARE"
H332,2,PRE-RECORDED VIDEO
H121,2,FURNITURE
H431,2,CLEANERS & CLEANSERS (GENL HSHOLD USE)
G71H,2,HARDWARE & LUMBER STORES
F190,2,COMBINATION COPY FOOD/FOOD PRODUCTS/GP
A134,1,SHOE CARE PRODUCTS
B149,1,COMB COPY & MISC COMMUN & PUBLIC UTILIT
A180,1,LUGGAGE & ACCESSORIES INCLUDING BRIEFCASES
A111,1,BLOUSES & SHIRTS
A115,1,SPORTSWEAR
A114,1,"DRESSES, SUITS & FORMAL WEAR"
D111,1,"SKIN CARE CREAMS, LOTIONS & OILS"
D131,1,BATH TOILETRIES & POWDER
D127,1,DIAPERS(INCL INFANT & ADULT)
B323,1,TYPEWRITERS & MISC OFFICE EQUIPMENT
B311,1,"COMPUTERS, COMPONENTS & ACCESSORIES"
D119,1,"COSMTCS COMB CPY,MISC BEAUTY AIDS & SUPP"
D125,1,SHAVING EQUIPMENT & SUPPLIES
D113,1,EYE MAKE-UP
D216,1,MEDICATED SKIN PRODUCTS & LINIMENTS
F330,1,LIQUOR
G222,1,OPTICAL INSTRUMENTS
G211,1,JEWELRY
F133,1,"ICE CREAM, FROZEN NOVELTIES & SHERBET"
F171,1,"COFFEE, TEA, COCOA & DERIVATIVES"
F163,1,COOKIES & CRACKERS
F212,1,"APPETIZERS, SNACKS & NUTS"
F320,1,WINE
F126,1,ALL OTHER PREPARED DINNERS & ENTREES & PIZZAS
D222,1,IN-HOME TESTS (INCLUDING COMPUTERIZED)
D142,1,"SHAMPOOS, CONDITIONERS & CREAM RINSES"
D132,1,MISC TOILET GOODS
D143,1,"HAIR DRESSINGS, SPRAYS & RESTORATION PROD"
D212,1,"COLD, COUGH & SINUS REMEDIES"
D213,1,DIGESTIVE AIDS & ANTACIDS
G424,1,HOBBYCRAFT
H433,1,"MISC CLNRS, WAXES & POLISHES (SPEC USES)"
H243,1,"DEODORIZERS, AIR FRESHENERS & PURIFIERS"
H236,1,FIX-IT SUPPLIES
H231,1,COOKWARE & CUTLERY
H132,1,VINYL FLRNG & MISC HARD SURF FLR COVRGS
H142,1,BEDDING & LINENS
H221,1,SMALL KITCHEN APPLIANCES & EQUIPMENT
H111,1,"DINNERWARE, GLASSWARE & POTTERY"
T115,1,MOTORCYCLES & VHCLS MISC-FACTORY:NEW
H513,1,LUMBER & WOODWORK
H512,1,"INSULATION, WALLBOARD, ROOFING & SIDING"
H519,1,MISC BUILDING MATERIALS
H514,1,DOORS & WINDOWS
T211,1,GASOLINE & OIL
T630,1,FERTILIZERS & SEED TREATMENTS
T620,1,"LAWN & GARDEN SEEDS, BULBS & NURSERY STOCK"
