BrandCode,BrandDesc,BrandVariant,AdvParentCode,AdvSubsidCode,PCCSubCode,ProductID,AdvParentDesc,kw_label,PCCSubDesc
1799659,VILLAGE AT RIVERS EDGE REAL ESTATE-RESIDENTIAL,VILLAGE AT RIVERS EDGE REAL ESTATE-RESIDENTIAL,1078988,1078988,B230,2068,HORIZON INVESTMENT & MANAGEMNT CORP,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
1955308,EMPLOYMENT HORIZONS EMPLOYMENT SVCS,EMPLOYMENT HORIZONS EMPLOYMENT SVCS,1241448,1241448,B119,530,EMPLOYMENT HORIZONS INC,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
413478,HORIZON SCHOOL SCHOOL,HORIZON SCHOOL SCHOOL,405589,405589,B133,1319,HORIZON SCHOOL INC,horizon,"SCHOOLS & CAMPS, SEMINARS"
549411,HORIZON MOVING SYSTEMS STORAGE-MOVING SVCS,HORIZON MOVING SYSTEMS STORAGE-MOVING SVCS,531617,531617,B613,2072,HORIZON MOVING SYSTEMS INC,horizon,"STEAMSHIP, TRUCK & OTHER FACILITIES"
2117302,CENTERS FOR NEW HORIZONS EMPLOYMENT RECRUITMENT,CENTERS FOR NEW HORIZONS EMPLOYMENT RECRUITMENT,691497,691497,B720,529,CENTERS FOR NEW HORIZONS INC,horizon,EMPLOYMENT RECRUITMENT
2371578,OUTLET SHOPPES AT EL PASO SHOPPING CTR,OUTLET SHOPPES AT EL PASO SHOPPING CTR,420434,420434,G719,1366,HORIZON GROUP PROPERTIES INC-PX,horizon,MISCELLANEOUS RETAIL
778539,HORIZON SCIENCE ACADEMY ACADEMY,HORIZON SCIENCE ACADEMY ACADEMY,665274,665274,B133,11,HORIZON SCIENCE ACADEMY,horizon,"SCHOOLS & CAMPS, SEMINARS"
778809,NEW HORIZONS RESEARCH CTR,NEW HORIZONS RESEARCH CTR,665469,665469,B119,1246,NEW HORIZONS CLINICAL RESEARCH CTR,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
778810,NEW HORIZONS CREDIT UNION CREDIT UNION,NEW HORIZONS CREDIT UNION CREDIT UNION,665470,665470,B159,414,NEW HORIZONS CREDIT UNION INC,horizon,MISC FINANCIAL INST. SERVICES & PRODUCTS
1667719,NEW HORIZON INSULATORS HOME REPAIR SVCS,NEW HORIZON INSULATORS HOME REPAIR SVCS,1104612,1104612,B111,792,NEW HORIZON INSULATORS INC,horizon,"CONSTRUCTION, ENGINEERING & ARCHIT SRVCS"
