event_time,coef_raw,se,coef,parent_set,event
-18,-30851.52211302225,18649.974954332065,-21406.296650717548,coke,B_effective_jan2017
-17,217875.18123626156,18649.97495433212,227320.40669856625,coke,B_effective_jan2017
-16,49663.827169274235,18649.974954331745,59109.05263157893,coke,B_effective_jan2017
-15,-4946.416849863996,18649.974954332196,4498.8086124407055,coke,B_effective_jan2017
-14,-6440.981443165779,18649.97495433218,3004.2440191389223,coke,B_effective_jan2017
-13,-11938.81397905088,18649.974954331916,-2493.5885167461784,coke,B_effective_jan2017
-12,-26014.09149101306,18649.974954332436,-16568.86602870836,coke,B_effective_jan2017
-11,-32492.952735031056,18649.974954331818,-23047.727272726355,coke,B_effective_jan2017
-10,-32388.25895512789,18649.974954331912,-22943.03349282319,coke,B_effective_jan2017
-9,-32256.263739816117,18649.974954331974,-22811.038277511416,coke,B_effective_jan2017
-8,-32265.96708909895,18649.974954332105,-22820.74162679425,coke,B_effective_jan2017
-7,-26823.019720676875,18649.97495433158,-17377.794258372174,coke,B_effective_jan2017
-6,-21002.201538859284,18649.974954332094,-11556.976076554583,coke,B_effective_jan2017
-5,18446.72190611639,18649.974954332014,27891.94736842109,coke,B_effective_jan2017
-4,8846.348700374863,18649.974954332054,18291.574162679564,coke,B_effective_jan2017
-3,-9755.148907280785,18649.974954332105,-309.9234449760843,coke,B_effective_jan2017
-2,15145.755398939435,18649.974954331923,24590.980861244134,coke,B_effective_jan2017
-1,-9445.225462304701,18649.97495433208,0.0,coke,B_effective_jan2017
0,-29822.938380964464,18649.974954332007,-20377.712918659763,coke,B_effective_jan2017
1,-36319.48383550975,18649.974954331992,-26874.25837320505,coke,B_effective_jan2017
2,-34752.87618000733,18649.974954332014,-25307.650717702632,coke,B_effective_jan2017
3,-16357.2972326358,18649.97495433193,-6912.071770331098,coke,B_effective_jan2017
4,-29503.488620199023,18649.974954331934,-20058.263157894322,coke,B_effective_jan2017
5,-19317.87139531696,18649.974954331854,-9872.64593301226,coke,B_effective_jan2017
6,15350.630997026252,18649.974954331996,24795.856459330953,coke,B_effective_jan2017
7,101974.43482477695,18649.97495433205,111419.66028708166,coke,B_effective_jan2017
8,49892.22908314988,18649.974954331956,59337.45454545459,coke,B_effective_jan2017
9,32368.831953963643,18649.97495433198,41814.05741626835,coke,B_effective_jan2017
10,8395.152528126982,18649.974954332105,17840.377990431683,coke,B_effective_jan2017
11,-13427.876180007757,18649.97495433201,-3982.650717703056,coke,B_effective_jan2017
12,-16187.340294840018,18649.974954332098,-6742.114832535317,coke,B_effective_jan2017
13,-22287.057998189754,18649.974954332116,-12841.832535885052,coke,B_effective_jan2017
14,-23814.78527091605,18649.974954332087,-14369.55980861135,coke,B_effective_jan2017
15,-19515.03885943326,18649.97495433203,-10069.81339712856,coke,B_effective_jan2017
16,-17692.723069960324,18649.974954332087,-8247.497607655623,coke,B_effective_jan2017
17,-14848.904888141798,18649.974954332098,-5403.679425837097,coke,B_effective_jan2017
18,87234.40611664225,18649.974954332127,96679.63157894695,coke,B_effective_jan2017
