event_time,coef_raw,se,coef,parent_set,event
-18,-3174.776542092762,13519.76221590286,4789.622009569106,pepsi,B_effective_jan2017
-17,-7785.991853097519,13519.762215902898,178.40669856434852,pepsi,B_effective_jan2017
-16,-11076.599508599753,13519.762215902629,-3112.200956937885,pepsi,B_effective_jan2017
-15,-9963.025345919626,13519.762215902954,-1998.6267942577588,pepsi,B_effective_jan2017
-14,-8789.23108754721,13519.762215902943,-824.8325358853426,pepsi,B_effective_jan2017
-13,-7983.714341135829,13519.762215902752,-19.31578947396156,pepsi,B_effective_jan2017
-12,-6525.613862668276,13519.762215903127,1438.7846889935918,pepsi,B_effective_jan2017
-11,-7450.503814818358,13519.76221590268,513.8947368435101,pepsi,B_effective_jan2017
-10,-7228.46553730805,13519.762215902749,735.9330143538173,pepsi,B_effective_jan2017
-9,-8456.446398551881,13519.762215902792,-492.0478468900137,pepsi,B_effective_jan2017
-8,-7876.33635070487,13519.762215902887,88.06220095699791,pepsi,B_effective_jan2017
-7,9578.036855036555,13519.76221590251,17542.435406698423,pepsi,B_effective_jan2017
-6,-9962.020561231246,13519.76221590288,-1997.622009569378,pepsi,B_effective_jan2017
-5,-12963.379412905764,13519.762215902823,-4998.9808612438965,pepsi,B_effective_jan2017
-4,-13007.274149748138,13519.762215902852,-5042.875598086271,pepsi,B_effective_jan2017
-3,-9129.503814819642,13519.762215902889,-1165.105263157774,pepsi,B_effective_jan2017
-2,4391.539247381101,13519.762215902754,12355.937799042968,pepsi,B_effective_jan2017
-1,-7964.398551661868,13519.76221590287,0.0,pepsi,B_effective_jan2017
0,-6825.087546875062,13519.762215902816,1139.3110047868058,pepsi,B_effective_jan2017
1,-7596.570800465879,13519.762215902807,367.82775119598864,pepsi,B_effective_jan2017
2,-7478.240656925079,13519.762215902821,486.1578947367889,pepsi,B_effective_jan2017
3,-9184.202379411983,13519.762215902763,-1219.8038277501155,pepsi,B_effective_jan2017
4,-11404.78611147013,13519.762215902763,-3440.3875598082623,pepsi,B_effective_jan2017
5,27460.170826332298,13519.762215902705,35424.569377994165,pepsi,B_effective_jan2017
6,-10491.231087547018,13519.762215902809,-2526.83253588515,pepsi,B_effective_jan2017
7,-17052.72869520258,13519.762215902849,-9088.330143540712,pepsi,B_effective_jan2017
8,30909.706711496376,13519.76221590278,38874.10526315824,pepsi,B_effective_jan2017
9,80265.67321867282,13519.7622159028,88230.07177033469,pepsi,B_effective_jan2017
10,12117.83589809898,13519.762215902889,20082.234449760846,pepsi,B_effective_jan2017
11,85.9507306347059,13519.76221590282,8050.349282296574,pepsi,B_effective_jan2017
12,-1333.1497478340852,13519.762215902882,6631.2488038277825,pepsi,B_effective_jan2017
13,12412.72106556311,13519.762215902894,20377.119617224977,pepsi,B_effective_jan2017
14,-6239.771757403366,13519.762215902876,1724.6267942585018,pepsi,B_effective_jan2017
15,4735.6397258501,13519.762215902832,12700.038277511969,pepsi,B_effective_jan2017
16,19953.12297943872,13519.762215902874,27917.52153110059,pepsi,B_effective_jan2017
17,22056.065563170872,13519.762215902882,30020.46411483274,pepsi,B_effective_jan2017
18,3298.587094271085,13519.762215902905,11262.985645932953,pepsi,B_effective_jan2017
