event_time,coef_raw,se,coef,parent_set
-18,2233.368227078583,16736.582000578786,30618.205741626953,coke
-17,-28577.05282555337,16736.582000578837,-192.21531100500215,coke
-16,-28577.909284883382,16736.5820005785,-193.07177033501284,coke
-15,-24889.469093495434,16736.582000578906,3495.3684210529354,coke
-14,-15609.832729859469,16736.582000578892,12775.004784688901,coke
-13,-24067.248997801595,16736.582000578655,4317.588516746775,coke
-12,-28323.239428424364,16736.582000579117,61.59808612400593,coke
-11,-26970.392538471715,16736.582000578564,1414.4449760766547,coke
-10,221756.31081080931,16736.582000578648,250141.14832535767,coke
-9,53544.95674382516,16736.582000578703,81929.79425837353,coke
-8,-1065.2872753136435,16736.582000578823,27319.550239234726,coke
-7,-2559.851868615224,16736.582000578353,25824.985645933146,coke
-6,-8057.684404500271,16736.582000578812,20327.1531100481,coke
-5,-22132.961916462416,16736.582000578743,6251.875598085953,coke
-4,-28611.823160482094,16736.58200057878,-226.9856459337243,coke
-3,-28507.12938057697,16736.582000578823,-122.29186602860136,coke
-2,-28375.134165265812,16736.58200057866,9.70334928255761,coke
-1,-28384.83751454837,16736.5820005788,0.0,coke
0,-22941.890146126683,16736.582000578735,5442.947368421686,coke
1,-17121.071964309267,16736.58200057872,11263.765550239103,coke
2,22327.851480667003,16736.582000578743,50712.68899521537,coke
3,12727.47827492818,16736.582000578666,41112.315789476546,coke
4,-5874.019332729074,16736.582000578666,22510.818181819297,coke
5,19026.88497349163,16736.582000578597,47411.72248804,coke
6,-5564.095887754613,16736.582000578725,22820.74162679376,coke
7,-25941.808806414614,16736.582000578775,2443.0287081337556,coke
8,-32438.354260959193,16736.582000578688,-4053.5167464108235,coke
9,-30871.74660545727,16736.582000578714,-2486.909090908899,coke
10,-12476.167658089133,16736.582000578826,15908.669856459237,coke
11,-25622.359045648984,16736.58200057874,2762.478468899386,coke
12,-15436.741820768053,16736.582000578815,12948.095693780317,coke
13,19231.7605715764,16736.582000578834,47616.598086124766,coke
14,105855.56439932738,16736.58200057881,134240.40191387574,coke
15,53773.35865770056,16736.582000578754,82158.19617224894,coke
16,36249.96152851429,16736.582000578805,64634.79904306267,coke
17,12276.282102677062,16736.582000578815,40661.11961722543,coke
18,-9546.74660545693,16736.58200057884,18838.09090909144,coke
