event_time,coef_raw,se,coef,parent_set
-18,-8539.54060519917,13764.233494594833,-1691.7177033498592,pepsi
-17,-11522.617160223463,13764.233494594873,-4674.7942583741515,pepsi
-16,-3044.9425190745046,13764.233494594597,3802.8803827748065,pepsi
-15,-265.7511315140923,13764.23349459493,6582.071770335218,pepsi
-14,1494.1483900163112,13764.233494594919,8341.971291865622,pepsi
-13,-5656.655437735153,13764.233494594722,1191.167464114158,pepsi
-12,50405.72255269541,13764.233494595106,57253.54545454473,pepsi
-11,-2146.2630932356533,13764.23349459465,4701.559808613658,pepsi
-10,-6757.478404242238,13764.23349459472,90.34449760707321,pepsi
-9,-10048.08605974457,13764.233494594766,-3200.2631578952587,pepsi
-8,-8934.511897064895,13764.233494594862,-2086.6889952155834,pepsi
-7,-7760.717638691638,13764.233494594477,-912.8947368423269,pepsi
-6,-6955.200892280076,13764.233494594853,-107.37799043076484,pepsi
-5,-5497.100413811175,13764.233494594797,1350.7224880381364,pepsi
-4,-6421.9903659643405,13764.233494594826,425.83253588497064,pepsi
-3,-6199.952088452525,13764.233494594864,647.8708133967866,pepsi
-2,-7427.932949696511,13764.233494594728,-580.1100478471999,pepsi
-1,-6847.822901849311,13764.233494594844,0.0,pepsi
0,10606.550303894013,13764.23349459479,17454.373205743323,pepsi
1,-8933.507112376199,13764.233494594779,-2085.684210526888,pepsi
2,-11934.865964050758,13764.233494594795,-5087.043062201446,pepsi
3,-11978.760700891888,13764.233494594733,-5130.937799042576,pepsi
4,-8100.990365964464,13764.233494594737,-1253.167464115153,pepsi
5,5420.05269624112,13764.233494594677,12267.875598090432,pepsi
6,-6935.885102806686,13764.233494594782,-88.06220095737444,pepsi
7,-5796.574098021913,13764.233494594822,1051.2488038273978,pepsi
8,-6568.05735161003,13764.233494594753,279.76555023928086,pepsi
9,-6449.7272080697885,13764.233494594771,398.09569377952266,pepsi
10,-8155.688930557708,13764.233494594864,-1307.8660287083967,pepsi
11,-10376.272662615153,13764.233494594793,-3528.4497607658413,pepsi
12,28488.684275183903,13764.233494594857,35336.507177033214,pepsi
13,-9462.717638691467,13764.23349459487,-2614.894736842156,pepsi
14,-16024.215246347427,13764.23349459485,-9176.392344498116,pepsi
15,31938.220160351382,13764.233494594806,38786.0430622007,pepsi
16,81294.1866675289,13764.233494594848,88142.00956937822,pepsi
17,13146.349346954286,13764.233494594857,19994.172248803596,pepsi
18,1114.4641794901804,13764.233494594879,7962.287081339491,pepsi
