event_time,coef_raw,se,coef,parent_set
-18,-10511.091491013554,26103.766303393353,25901.047846889312,top4
-17,-43200.32115608612,26103.76630339343,-6788.18181818325,top4
-16,-35073.153691970314,26103.766303392906,1338.9856459325529,top4
-15,-29237.182400103004,26103.766303393535,7174.956937799863,top4
-14,-13250.325940774404,26103.766303393517,23161.813397128462,top4
-13,-29922.38814173121,26103.766303393146,6489.7511961716555,top4
-12,22360.047264966615,26103.76630339387,58772.18660286948,top4
-11,-33359.25417043677,26103.766303393004,3052.885167466098,top4
-10,211023.93243243024,26103.76630339314,247436.0717703331,top4
-9,42991.73626018276,26103.766303393222,79403.87559808564,top4
-8,-9421.302017328708,26103.766303393408,26990.83732057416,top4
-7,-14566.943165654147,26103.766303392676,21845.196172248718,top4
-6,-19221.986227854934,26103.766303393393,17190.153110047933,top4
-5,-30136.172830726195,26103.766303393284,6275.966507176672,top4
-4,-38457.69436182731,26103.76630339334,-2045.5550239244403,top4
-3,-33750.608237424705,26103.76630339341,2661.5311004781615,top4
-2,-35818.12019914685,26103.766303393153,594.019138756019,top4
-1,-36412.13933790287,26103.766303393375,0.0,top4
0,-14783.086706321723,26103.76630339327,21629.052631581144,top4
1,-28826.98622785591,26103.76630339325,7585.153110046958,top4
2,4930.697982670721,26103.766303393284,41342.837320573584,top4
3,-2446.498189573722,26103.766303393168,33965.641148329145,top4
4,-19156.895318763454,26103.766303393168,17255.244019139413,top4
5,26018.86066210356,26103.766303393055,62431.00000000643,top4
6,-16672.632160870562,26103.766303393255,19739.507177032305,top4
7,-35932.47426613321,26103.76630339333,479.6650717696539,top4
8,-43097.00058192134,26103.766303393204,-6684.861244018473,top4
9,-36443.56995991277,26103.766303393237,-31.430622009902436,top4
10,-16287.302017329148,26103.76630339341,20124.83732057372,top4
11,-32541.10584508043,26103.766303393277,3871.0334928224365,top4
12,13993.214729082756,26103.766303393397,50405.35406698562,top4
13,7331.58315013559,26103.766303393422,43743.72248803846,top4
14,84746.89415491957,26103.766303393386,121159.03349282243,top4
15,98229.26257597259,26103.766303393302,134641.40191387545,top4
16,169930.02334152386,26103.766303393382,206342.16267942672,top4
17,34292.81759989646,26103.766303393397,70704.95693779932,top4
18,-12612.23024699355,26103.76630339344,23799.909090909317,top4
