ym,philly,pitt,delta
2009-12-01,0.0,0.0,0.0
2010-01-01,7170.0,26.0,7144.0
2010-02-01,82324.0,18770.0,63554.0
2010-03-01,83737.0,21257.0,62480.0
2010-04-01,136339.0,59253.0,77086.0
2010-05-01,45371.0,41565.0,3806.0
2010-06-01,59025.0,13118.0,45907.0
2010-07-01,34912.0,14252.0,20660.0
2010-08-01,292038.0,95008.0,197030.0
2010-09-01,234837.0,26329.0,208508.0
2010-10-01,63811.0,65586.0,-1775.0
2010-11-01,46669.0,5968.0,40701.0
2010-12-01,48862.0,1507.0,47355.0
2013-12-01,1070.0,0.0,1070.0
2014-01-01,4034.0,0.0,4034.0
2014-02-01,8793.0,102.0,8691.0
2014-03-01,0.0,0.0,0.0
2014-04-01,0.0,27.0,-27.0
2014-05-01,3483.0,187.0,3296.0
2014-06-01,46138.0,52.0,46086.0
2014-07-01,0.0,0.0,0.0
2014-08-01,280732.0,111646.0,169086.0
2014-09-01,27642.0,120.0,27522.0
2014-10-01,22310.0,0.0,22310.0
2014-11-01,37876.0,19.0,37857.0
2014-12-01,31858.0,585.0,31273.0
2015-01-01,1096.0,547.0,549.0
2015-02-01,3724.0,713.0,3011.0
2015-03-01,14631.0,2928.0,11703.0
2015-04-01,29627.0,979.0,28648.0
2015-05-01,14250.0,976.0,13274.0
2015-06-01,68105.0,3951.0,64154.0
2015-07-01,10637.0,2628.0,8009.0
2015-08-01,262986.0,55455.0,207531.0
2015-09-01,88530.0,20666.0,67864.0
2015-10-01,33483.0,535.0,32948.0
2015-11-01,26621.0,0.0,26621.0
2015-12-01,20687.0,38.0,20649.0
2016-01-01,9627.0,1052.0,8575.0
2016-02-01,838.0,142.0,696.0
2016-03-01,5855.0,689.0,5166.0
2016-04-01,5665.0,332.0,5333.0
2016-05-01,6818.0,1306.0,5512.0
2016-06-01,30568.0,954.0,29614.0
2016-07-01,14266.0,575.0,13691.0
2016-08-01,65153.0,63495.0,1658.0
2016-09-01,48765.0,20010.0,28755.0
2016-10-01,24481.0,3468.0,21013.0
2016-11-01,80171.0,15278.0,64893.0
2016-12-01,23709.0,151.0,23558.0
2017-01-01,4306.0,2832.0,1474.0
2017-02-01,0.0,13507.0,-13507.0
2017-03-01,5265.0,3361.0,1904.0
2017-04-01,29234.0,4844.0,24390.0
2017-05-01,13385.0,887.0,12498.0
2017-06-01,60355.0,4453.0,55902.0
2017-07-01,54284.0,4842.0,49442.0
2017-08-01,142091.0,90826.0,51265.0
2017-09-01,153557.0,47691.0,105866.0
2017-10-01,231012.0,38737.0,192275.0
2017-11-01,90885.0,20487.0,70398.0
2017-12-01,29891.0,7974.0,21917.0
2018-01-01,28427.0,4724.0,23703.0
2018-02-01,34011.0,5259.0,28752.0
2018-03-01,11295.0,4787.0,6508.0
2018-04-01,27833.0,3905.0,23928.0
2018-05-01,49328.0,3819.0,45509.0
2018-06-01,58443.0,2947.0,55496.0
2018-07-01,150246.0,1862.0,148384.0
2018-08-01,117175.0,163633.0,-46458.0
2018-09-01,53085.0,3542.0,49543.0
2018-10-01,24572.0,1030.0,23542.0
2018-11-01,23216.0,1978.0,21238.0
2018-12-01,19788.0,580.0,19208.0
2019-01-01,15173.0,1546.0,13627.0
2019-02-01,6383.0,2182.0,4201.0
2019-03-01,9782.0,1857.0,7925.0
2019-04-01,15706.0,6507.0,9199.0
2019-05-01,9580.0,606.0,8974.0
2019-06-01,50588.0,822.0,49766.0
2019-07-01,146079.0,4273.0,141806.0
2019-08-01,213911.0,93749.0,120162.0
2019-09-01,48145.0,39046.0,9099.0
