MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2015-12,11440,F221,0.00,12,12
100,2015-12,11440,F222,0.00,3,3
100,2015-12,14842,F222,0.00,59,59
101,2015-12,11440,F221,0.00,25,25
101,2015-12,11440,F222,0.00,1,1
101,2015-12,14842,F221,0.00,10,10
101,2015-12,14842,F222,0.00,96,96
102,2015-12,14842,F222,0.00,67,67
103,2015-12,11440,F222,0.00,2,2
103,2015-12,14842,F222,0.00,66,66
104,2015-12,11440,F221,0.00,13,13
104,2015-12,11440,F222,0.00,9,9
104,2015-12,14842,F221,0.00,4,4
104,2015-12,14842,F222,0.00,88,88
105,2015-12,11440,F221,0.00,12,12
105,2015-12,11440,F222,0.00,4,4
105,2015-12,14842,F221,927.00,21,21
105,2015-12,14842,F222,0.00,90,90
106,2015-12,11440,F221,0.00,22,22
106,2015-12,11440,F222,0.00,6,6
106,2015-12,14842,F221,0.00,11,11
106,2015-12,14842,F222,0.00,136,136
107,2015-12,11440,F221,0.00,11,11
107,2015-12,11440,F222,0.00,4,4
107,2015-12,14842,F222,0.00,85,85
108,2015-12,11440,F221,0.00,11,11
108,2015-12,11440,F222,0.00,5,5
108,2015-12,14842,F222,0.00,82,82
108,2015-12,1809,F172,989.00,3,3
109,2015-12,11440,F221,0.00,9,9
109,2015-12,11440,F222,0.00,2,2
109,2015-12,14842,F222,0.00,82,82
110,2015-12,11440,F221,0.00,16,16
110,2015-12,11440,F222,0.00,4,4
110,2015-12,14842,F222,0.00,92,92
111,2015-12,11440,F221,0.00,13,13
111,2015-12,11440,F222,0.00,4,4
111,2015-12,14842,F222,0.00,79,79
112,2015-12,11440,F221,0.00,3,3
112,2015-12,11440,F222,0.00,4,4
112,2015-12,14842,F222,0.00,87,87
113,2015-12,11440,F221,0.00,12,12
113,2015-12,11440,F222,0.00,4,4
113,2015-12,14842,F222,0.00,91,91
114,2015-12,11440,F221,0.00,8,8
114,2015-12,14842,F222,0.00,81,81
115,2015-12,11440,F221,0.00,9,9
115,2015-12,11440,F222,0.00,3,3
115,2015-12,14842,F222,0.00,81,81
116,2015-12,11440,F221,0.00,12,12
116,2015-12,14842,F221,0.00,1,1
116,2015-12,14842,F222,0.00,87,87
117,2015-12,11440,F221,0.00,12,12
117,2015-12,11440,F222,0.00,4,4
117,2015-12,14842,F222,0.00,82,82
118,2015-12,11440,F221,0.00,9,9
118,2015-12,11440,F222,0.00,4,4
118,2015-12,14842,F222,0.00,88,88
119,2015-12,11440,F221,0.00,12,12
119,2015-12,11440,F222,0.00,3,3
119,2015-12,14842,F222,0.00,88,88
120,2015-12,11440,F221,72.00,13,13
120,2015-12,11440,F222,0.00,4,4
120,2015-12,14842,F222,0.00,80,80
