MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2014-12,11440,F222,0.00,1,1
100,2014-12,14842,F221,0.00,1,1
101,2014-12,11440,F222,0.00,1,1
101,2014-12,14842,F221,0.00,13,13
102,2014-12,11440,F222,0.00,1,1
102,2014-12,14842,F221,0.00,1,1
103,2014-12,2531252,F221,0.00,1,1
104,2014-12,11440,F222,0.00,1,1
104,2014-12,14842,F221,0.00,5,5
104,2014-12,14842,F222,0.00,5,5
105,2014-12,11440,F222,0.00,1,1
105,2014-12,14842,F221,0.00,1,1
105,2014-12,2531252,F221,0.00,1,1
106,2014-12,11440,F222,0.00,2,2
106,2014-12,14842,F221,0.00,17,17
106,2014-12,2531252,F221,0.00,1,1
107,2014-12,11440,F222,0.00,1,1
107,2014-12,14842,F221,0.00,1,1
108,2014-12,11440,F222,0.00,1,1
108,2014-12,14842,F221,0.00,1,1
109,2014-12,14842,F221,0.00,1,1
110,2014-12,11440,F222,0.00,1,1
110,2014-12,14842,F221,0.00,1,1
110,2014-12,2531252,F221,0.00,1,1
111,2014-12,11440,F222,0.00,1,1
111,2014-12,14842,F221,0.00,1,1
112,2014-12,11440,F222,0.00,1,1
112,2014-12,14842,F221,0.00,1,1
112,2014-12,2531252,F221,0.00,1,1
113,2014-12,11440,F222,0.00,1,1
113,2014-12,14842,F221,0.00,1,1
114,2014-12,14842,F221,0.00,1,1
115,2014-12,11440,F222,0.00,5,5
115,2014-12,14842,F221,0.00,1,1
115,2014-12,2531252,F221,0.00,1,1
116,2014-12,11440,F222,0.00,1,1
116,2014-12,14842,F221,0.00,1,1
117,2014-12,11440,F222,0.00,1,1
117,2014-12,14842,F221,0.00,1,1
118,2014-12,11440,F222,0.00,1,1
118,2014-12,14842,F221,0.00,1,1
118,2014-12,2531252,F221,0.00,1,1
119,2014-12,11440,F222,0.00,1,1
120,2014-12,11440,F222,0.00,1,1
120,2014-12,14842,F221,0.00,1,1
121,2014-12,11440,F222,0.00,1,1
121,2014-12,14842,F221,0.00,1,1
122,2014-12,11440,F222,0.00,1,1
123,2014-12,11440,F222,0.00,1,1
123,2014-12,14842,F221,0.00,1,1
123,2014-12,2531252,F221,0.00,1,1
124,2014-12,11440,F221,0.00,3,3
124,2014-12,11440,F222,0.00,13,13
124,2014-12,14842,F221,0.00,1,1
124,2014-12,14842,F222,0.00,2,2
124,2014-12,2531252,F221,0.00,3,3
124,2014-12,2531252,F222,0.00,2,2
125,2014-12,2531252,F221,0.00,1,1
126,2014-12,11440,F222,0.00,1,1
126,2014-12,14842,F221,0.00,1,1
127,2014-12,11440,F222,0.00,2,2
127,2014-12,14842,F221,0.00,1,1
127,2014-12,14842,F222,0.00,2,2
128,2014-12,11440,F222,0.00,12,12
128,2014-12,14842,F221,0.00,1,1
129,2014-12,11440,F222,0.00,1,1
129,2014-12,14842,F221,0.00,1,1
130,2014-12,11440,F222,0.00,1,1
130,2014-12,14842,F221,0.00,1,1
131,2014-12,11440,F222,0.00,1,1
132,2014-12,11440,F222,0.00,1,1
132,2014-12,14842,F221,0.00,1,1
133,2014-12,11440,F222,0.00,1,1
133,2014-12,14842,F221,0.00,1,1
134,2014-12,11440,F222,0.00,1,1
134,2014-12,14842,F221,0.00,1,1
135,2014-12,11440,F222,0.00,5,5
135,2014-12,14842,F221,0.00,1,1
135,2014-12,2531252,F221,0.00,1,1
136,2014-12,11440,F222,0.00,1,1
136,2014-12,14842,F221,0.00,1,1
137,2014-12,11440,F222,0.00,1,1
137,2014-12,14842,F221,0.00,1,1
137,2014-12,2531252,F221,0.00,1,1
138,2014-12,11440,F222,0.00,1,1
138,2014-12,14842,F221,0.00,1,1
138,2014-12,2531252,F221,0.00,1,1
139,2014-12,11440,F222,0.00,10,10
139,2014-12,14842,F221,0.00,2,2
139,2014-12,2531252,F221,0.00,2,2
139,2014-12,2531252,F222,0.00,2,2
140,2014-12,11440,F222,0.00,1,1
140,2014-12,14842,F221,0.00,1,1
141,2014-12,11440,F222,0.00,1,1
141,2014-12,14842,F221,0.00,1,1
141,2014-12,2531252,F221,0.00,1,1
142,2014-12,11440,F221,46.00,2,2
142,2014-12,11440,F222,0.00,1,1
142,2014-12,14842,F221,0.00,1,1
143,2014-12,14842,F221,0.00,1,1
144,2014-12,11440,F222,0.00,1,1
144,2014-12,14842,F221,0.00,1,1
144,2014-12,2531252,F221,0.00,1,1
145,2014-12,14842,F221,213.00,2,2
145,2014-12,2531252,F221,0.00,2,2
146,2014-12,14842,F221,0.00,1,1
146,2014-12,2531252,F221,0.00,1,1
147,2014-12,11440,F222,0.00,1,1
147,2014-12,14842,F221,0.00,1,1
148,2014-12,11440,F222,0.00,12,12
148,2014-12,14842,F221,0.00,1,1
150,2014-12,11440,F222,0.00,1,1
151,2014-12,11440,F222,0.00,1,1
151,2014-12,14842,F221,0.00,1,1
151,2014-12,2531252,F221,0.00,1,1
153,2014-12,14842,F221,0.00,1,1
155,2014-12,11440,F222,0.00,1,1
155,2014-12,14842,F221,0.00,1,1
155,2014-12,2531252,F221,0.00,1,1
156,2014-12,11440,F222,0.00,1,1
156,2014-12,14842,F221,0.00,1,1
157,2014-12,11440,F222,0.00,1,1
157,2014-12,14842,F221,0.00,1,1
159,2014-12,11440,F222,0.00,1,1
160,2014-12,11440,F222,0.00,3,3
160,2014-12,14842,F221,0.00,1,1
161,2014-12,11440,F222,0.00,1,1
161,2014-12,14842,F221,0.00,1,1
163,2014-12,11440,F222,0.00,2,2
163,2014-12,14842,F221,0.00,2,2
164,2014-12,11440,F222,209.00,4,4
164,2014-12,14842,F221,0.00,1,1
165,2014-12,11440,F222,0.00,1,1
165,2014-12,14842,F221,0.00,1,1
165,2014-12,2531252,F221,0.00,1,1
166,2014-12,11440,F222,0.00,1,1
166,2014-12,14842,F221,0.00,1,1
167,2014-12,11440,F222,0.00,1,1
167,2014-12,14842,F221,0.00,1,1
169,2014-12,11440,F222,0.00,1,1
169,2014-12,2531252,F221,0.00,1,1
170,2014-12,11440,F222,0.00,1,1
170,2014-12,14842,F221,0.00,1,1
171,2014-12,11440,F222,0.00,1,1
171,2014-12,14842,F221,0.00,1,1
173,2014-12,11440,F222,0.00,1,1
173,2014-12,14842,F221,0.00,1,1
173,2014-12,2531252,F221,0.00,1,1
174,2014-12,11440,F222,0.00,1,1
174,2014-12,14842,F221,0.00,1,1
175,2014-12,11440,F222,0.00,1,1
175,2014-12,14842,F221,0.00,1,1
176,2014-12,11440,F222,0.00,1,1
176,2014-12,14842,F221,0.00,1,1
177,2014-12,11440,F222,0.00,1,1
177,2014-12,14842,F221,0.00,1,1
