MarketCode,DMACode,DMAName_public
100,500,Portland-Auburn
101,501,New York
102,502,Binghamton
103,503,Macon
104,504,Philadelphia
105,505,Detroit
106,506,Boston (Manchester)
107,507,Savannah
108,508,Pittsburgh
109,509,Ft. Wayne
110,510,Cleveland-Akron (Canton)
111,511,"Washington, DC (Hagrstwn)"
112,512,Baltimore
113,513,Flint-Saginaw-Bay City
114,514,Buffalo
115,515,Cincinnati
116,516,Erie
117,517,Charlotte
118,518,Greensboro-H.Point-W.Salem
119,519,"Charleston, SC"
120,520,Augusta-Aiken
121,521,Providence-New Bedford
122,522,"Columbus, GA (Opelika, AL)"
123,523,Burlington-Plattsburgh
124,524,Atlanta
125,525,"Albany, GA"
126,526,Utica
127,527,Indianapolis
128,528,Miami-Ft. Lauderdale
129,529,Louisville
130,530,Tallahassee-Thomasville
131,531,"Tri-Cities, TN-VA"
132,532,Albany-Schenectady-Troy
133,533,Hartford & New Haven
134,534,Orlando-Daytona Bch-Melbrn
135,535,"Columbus, OH"
136,536,Youngstown
137,537,Bangor
138,538,"Rochester, NY"
139,539,Tampa-St. Pete (Sarasota)
140,540,Traverse City-Cadillac
141,541,Lexington
142,542,Dayton
143,543,Springfield-Holyoke
144,544,Norfolk-Portsmth-Newpt Nws
145,545,Greenville-N.Bern-Washngtn
146,546,"Columbia, SC"
147,547,Toledo
148,548,West Palm Beach-Ft. Pierce
149,549,Watertown
150,550,Wilmington
151,551,Lansing
152,552,Presque Isle
153,553,Marquette
154,554,Wheeling-Steubenville
155,555,Syracuse
156,556,Richmond-Petersburg
157,557,Knoxville
158,558,Lima
159,559,Bluefield-Beckley-Oak Hill
160,560,Raleigh-Durham (Fayetvlle)
161,561,Jacksonville
163,563,Grand Rapids-Kalmzoo-B.Crk
164,564,Charleston-Huntington
165,565,Elmira (Corning)
166,566,Harrisburg-Lncstr-Leb-York
167,567,Greenvll-Spart-Ashevll-And
169,569,Harrisonburg
170,570,Myrtle Beach-Florence
171,571,Ft. Myers-Naples
173,573,Roanoke-Lynchburg
174,574,Johnstown-Altoona-St Colge
175,575,Chattanooga
176,576,Salisbury
177,577,Wilkes Barre-Scranton-Hztn
181,581,Terre Haute
182,582,"Lafayette, IN"
183,583,Alpena
184,584,Charlottesville
188,588,South Bend-Elkhart
192,592,Gainesville
196,596,Zanesville
197,597,Parkersburg
198,598,Clarksburg-Weston
200,600,Corpus Christi
202,602,Chicago
203,603,Joplin-Pittsburg
204,604,Columbia-Jefferson City
205,605,Topeka
206,606,Dothan
209,609,St. Louis
210,610,Rockford
211,611,Rochestr-Mason City-Austin
212,612,Shreveport
213,613,Minneapolis-St. Paul
216,616,Kansas City
217,617,Milwaukee
218,618,Houston
219,619,"Springfield, MO"
222,622,New Orleans
223,623,Dallas-Ft. Worth
224,624,Sioux City
225,625,Waco-Temple-Bryan
226,626,Victoria
227,627,Wichita Falls & Lawton
228,628,Monroe-El Dorado
230,630,Birmingham (Ann and Tusc)
231,631,Ottumwa-Kirksville
232,632,Paducah-Cape Girard-Harsbg
233,633,Odessa-Midland
234,634,Amarillo
235,635,Austin
236,636,Harlingen-Wslco-Brnsvl-Mca
237,637,Cedar Rapids-Wtrlo-IWC&Dub
238,638,St. Joseph
239,639,"Jackson, TN"
240,640,Memphis
241,641,San Antonio
242,642,"Lafayette, LA"
