MarketCode,DMACode,DMAName,StateAbbrev,StatePopInDMA,DMA_Population,StatePctOfDMA
100,500,Portland-Auburn,ME,978774.000000,1062356.000000,92.132393
100,500,Portland-Auburn,NH,83582.000000,1062356.000000,7.867607
101,501,New York,NY,13713940.000000,20869458.000000,65.712967
101,501,New York,NJ,7094022.000000,20869458.000000,33.992363
101,501,New York,PA,61496.000000,20869458.000000,0.294670
101,501,New York,CT,0.000000,20869458.000000,0.000000
102,502,Binghamton,NY,334365.000000,334365.000000,100.000000
103,503,Macon,GA,683419.000000,683419.000000,100.000000
104,504,Philadelphia,PA,5355495.000000,8413563.000000,63.653116
104,504,Philadelphia,NJ,2285620.000000,8413563.000000,27.165899
104,504,Philadelphia,DE,772448.000000,8413563.000000,9.180986
105,505,Detroit,MI,4936012.000000,4936012.000000,100.000000
106,506,Boston (Manchester),MA,5653978.000000,6835680.000000,82.712737
106,506,Boston (Manchester),NH,1181702.000000,6835680.000000,17.287263
107,507,Savannah,GA,782321.000000,1033091.000000,75.726243
107,507,Savannah,SC,250770.000000,1033091.000000,24.273757
108,508,Pittsburgh,PA,2639958.000000,2810259.000000,93.940025
108,508,Pittsburgh,WV,141799.000000,2810259.000000,5.045763
108,508,Pittsburgh,MD,28502.000000,2810259.000000,1.014213
109,509,Ft. Wayne,IN,709232.000000,756685.000000,93.728830
109,509,Ft. Wayne,OH,47453.000000,756685.000000,6.271170
110,510,Cleveland-Akron (Canton),OH,3828832.000000,3828832.000000,100.000000
111,511,"Washington, DC (Hagrstwn)",VA,2542005.000000,4811944.000000,52.826986
111,511,"Washington, DC (Hagrstwn)",MD,1969538.000000,4811944.000000,40.930194
111,511,"Washington, DC (Hagrstwn)",WV,285891.000000,4811944.000000,5.941279
111,511,"Washington, DC (Hagrstwn)",PA,14510.000000,4811944.000000,0.301541
111,511,"Washington, DC (Hagrstwn)",DC,0.000000,4811944.000000,0.000000
112,512,Baltimore,MD,2477192.000000,2477192.000000,100.000000
113,513,Flint-Saginaw-Bay City,MI,1121439.000000,1121439.000000,100.000000
114,514,Buffalo,NY,1502983.000000,1558545.000000,96.435008
114,514,Buffalo,PA,55562.000000,1558545.000000,3.564992
115,515,Cincinnati,OH,1849869.000000,2472371.000000,74.821659
115,515,Cincinnati,KY,495776.000000,2472371.000000,20.052654
115,515,Cincinnati,IN,126726.000000,2472371.000000,5.125687
116,516,Erie,PA,387927.000000,387927.000000,100.000000
117,517,Charlotte,NC,3062549.000000,3546003.000000,86.366227
117,517,Charlotte,SC,483454.000000,3546003.000000,13.633773
118,518,Greensboro-H.Point-W.Salem,NC,1866910.000000,1884350.000000,99.074482
118,518,Greensboro-H.Point-W.Salem,VA,17440.000000,1884350.000000,0.925518
119,519,"Charleston, SC",SC,986578.000000,986578.000000,100.000000
120,520,Augusta-Aiken,GA,491494.000000,747978.000000,65.709687
120,520,Augusta-Aiken,SC,256484.000000,747978.000000,34.290313
121,521,Providence-New Bedford,RI,1103429.000000,1688482.000000,65.350356
121,521,Providence-New Bedford,MA,585053.000000,1688482.000000,34.649644
122,522,"Columbus, GA (Opelika, AL)",GA,312247.000000,614041.000000,50.851165
122,522,"Columbus, GA (Opelika, AL)",AL,301794.000000,614041.000000,49.148835
123,523,Burlington-Plattsburgh,VT,611523.000000,909393.000000,67.245184
123,523,Burlington-Plattsburgh,NY,160955.000000,909393.000000,17.699169
123,523,Burlington-Plattsburgh,NH,136915.000000,909393.000000,15.055647
124,524,Atlanta,GA,7473172.000000,7523492.000000,99.331162
124,524,Atlanta,AL,38447.000000,7523492.000000,0.511026
124,524,Atlanta,NC,11873.000000,7523492.000000,0.157812
125,525,"Albany, GA",GA,387105.000000,387105.000000,100.000000
126,526,Utica,NY,120090.000000,120090.000000,100.000000
127,527,Indianapolis,IN,3153110.000000,3153110.000000,100.000000
128,528,Miami-Ft. Lauderdale,FL,4858342.000000,4858342.000000,100.000000
129,529,Louisville,KY,1407375.000000,1844260.000000,76.311095
129,529,Louisville,IN,436885.000000,1844260.000000,23.688905
130,530,Tallahassee-Thomasville,FL,503278.000000,795729.000000,63.247412
130,530,Tallahassee-Thomasville,GA,292451.000000,795729.000000,36.752588
131,531,"Tri-Cities, TN-VA",TN,525136.000000,775100.000000,67.750742
131,531,"Tri-Cities, TN-VA",VA,219685.000000,775100.000000,28.342794
131,531,"Tri-Cities, TN-VA",KY,30279.000000,775100.000000,3.906464
132,532,Albany-Schenectady-Troy,NY,1247378.000000,1413426.000000,88.252091
132,532,Albany-Schenectady-Troy,MA,128863.000000,1413426.000000,9.117067
132,532,Albany-Schenectady-Troy,VT,37185.000000,1413426.000000,2.630842
133,533,Hartford & New Haven,CT,0.000000,0.000000,0.000000
134,534,Orlando-Daytona Bch-Melbrn,FL,4800258.000000,4800258.000000,100.000000
135,535,"Columbus, OH",OH,2678939.000000,2678939.000000,100.000000
136,536,Youngstown,OH,526479.000000,634998.000000,82.910340
136,536,Youngstown,PA,108519.000000,634998.000000,17.089660
137,537,Bangor,ME,353723.000000,353723.000000,100.000000
138,538,"Rochester, NY",NY,328327.000000,328327.000000,100.000000
139,539,Tampa-St. Pete (Sarasota),FL,5415717.000000,5415717.000000,100.000000
140,540,Traverse City-Cadillac,MI,532449.000000,532449.000000,100.000000
141,541,Lexington,KY,1334430.000000,1334430.000000,100.000000
142,542,Dayton,OH,1218411.000000,1218411.000000,100.000000
143,543,Springfield-Holyoke,MA,698674.000000,698674.000000,100.000000
144,544,Norfolk-Portsmth-Newpt Nws,VA,782125.000000,961076.000000,81.380141
144,544,Norfolk-Portsmth-Newpt Nws,NC,178951.000000,961076.000000,18.619859
145,545,Greenville-N.Bern-Washngtn,NC,812313.000000,812313.000000,100.000000
146,546,"Columbia, SC",SC,1132678.000000,1132678.000000,100.000000
147,547,Toledo,OH,953097.000000,1050718.000000,90.709115
147,547,Toledo,MI,97621.000000,1050718.000000,9.290885
148,548,West Palm Beach-Ft. Pierce,FL,752517.000000,752517.000000,100.000000
149,549,Watertown,NY,246886.000000,246886.000000,100.000000
150,550,Wilmington,NC,547910.000000,547910.000000,100.000000
151,551,Lansing,MI,682056.000000,682056.000000,100.000000
