state,state_abbr,year,beer_rate_prev,beer_rate,delta,pct_change,has_footnote
Delaware,DE,2019,0.16,0.26,0.1,0.625,False
District Of Columbia,DC,2021,0.09,0.26,0.17,1.888888888888889,False
Delaware,DE,2021,0.26,0.09,-0.17,-0.6538461538461539,False
District Of Columbia,DC,2022,0.26,0.09,-0.17,-0.6538461538461539,False
Delaware,DE,2022,0.09,0.26,0.17,1.888888888888889,False
Texas,TX,2022,0.19047,0.193548,0.0030779999999999974,0.016160025200819012,False
Washington,WA,2022,0.26,0.2565,-0.003500000000000003,-0.013461538461538473,False
Arkansas,AR,2023,0.24,0.23,-0.009999999999999981,-0.04166666666666659,False
District Of Columbia,DC,2023,0.09,0.26,0.17,1.888888888888889,False
Delaware,DE,2023,0.26,0.09,-0.17,-0.6538461538461539,False
Georgia,GA,2023,1.01,0.85,-0.16000000000000003,-0.15841584158415845,True
Utah,UT,2023,0.4063,0.4226,0.01629999999999998,0.040118139305931534,False
